market,metric_group,field,field_zh,count,missing_count,missing_ratio,mean,std,min,max,range,median,skew,kurtosis,q01,q05,q10,q25,q50,q75,q90,q95,q99
A股,原始字段,open,开盘价,237,0,0.0,114.56742616033756,16.492972634227602,85.49,160.19,74.7,115.24,0.05262167778435708,-0.4149500511303956,85.6936,87.684,89.16,102.62,115.24,125.18,133.0,141.91599999999997,152.032
A股,原始字段,high,最高价,237,0,0.0,117.50122362869197,17.650864427041874,86.17,166.88,80.71,117.69,0.1569330678194651,-0.25239617085467225,86.8536,88.9,91.42,106.1,117.69,128.5,137.528,151.828,158.9096
A股,原始字段,low,最低价,237,0,0.0,112.66691983122362,15.597775000425052,84.86,152.31,67.45,113.7,-0.020595603110837662,-0.5005232268894919,85.38080000000001,86.64999999999999,88.614,101.63,113.7,123.01,130.124,138.712,148.73999999999995
A股,原始字段,close,收盘价,237,0,0.0,115.0309282700422,16.626518892738662,85.48,158.82,73.33999999999999,116.32,0.08525924610263122,-0.3258119527125283,85.818,88.106,89.8,103.91,116.32,125.34,134.08,142.17999999999995,155.45279999999997
A股,原始字段,pre_close,前收盘价,237,0,0.0,114.79320675105484,16.611896666534356,85.48,158.82,73.33999999999999,116.31,0.08697904552500862,-0.3216309379841369,85.818,87.864,89.484,103.91,116.31,125.34,134.024,140.89999999999998,155.45279999999997
A股,原始字段,change,涨跌额,237,0,0.0,0.23772151898734176,4.20302038773866,-13.79,24.67,38.46,-0.01,1.090542452806385,6.621885071732583,-10.7512,-5.566,-3.964,-1.68,-0.01,1.89,4.992,6.539999999999996,14.244799999999971
A股,原始字段,pct_chg,日涨跌幅(%),237,0,0.0,0.2675691983122363,3.468667921859983,-10.2562,18.7847,29.0409,-0.0086,1.4084501706254413,6.67401120241138,-7.494972,-4.34492,-3.2493600000000002,-1.443,-0.0086,1.747,4.133860000000001,5.612039999999998,13.623251999999978
A股,原始字段,vol,成交量,237,0,0.0,676992.5358227849,439651.9268256737,135349.28,2521802.26,2386452.98,547702.62,1.5223052412342561,2.5309846564649248,178325.9744,225001.96600000001,279713.294,342640.05,547702.62,858745.56,1323842.634,1577412.8539999998,2181533.6707999976
A股,原始字段,amount,成交额,237,0,0.0,8186119.888160339,6014447.88888973,1162397.568,37253708.024,36091310.456,6184618.809,1.5366982942763843,2.749867444373486,1532423.86648,2000109.0088,2758824.9484,3803229.096,6184618.809,10395575.384,17302211.74,19951484.508799993,26999438.529799998
港股,原始字段,open,开盘价,246,0,0.0,67.16016260162603,11.12714474506081,43.1,91.8,48.699999999999996,69.55,-0.3059483964269427,-0.620215906705615,44.457499999999996,46.8875,50.9,59.0,69.55,75.15,79.375,83.025,90.4325
